cp,cordon,zona,moto,auto
1602,cordon 1,zonanorte,2700,3300
1603,cordon 1,zonanorte,2700,3300
1604,cordon 1,zonanorte,2700,3300
1605,cordon 1,zonanorte,2700,3300
1606,cordon 1,zonanorte,2700,3300
1607,cordon 1,zonanorte,2700,3300
1613,cordon 2,zonaoeste,4020,4450
1614,cordon 2,zonaoeste,4020,4450
1615,cordon 2,zonaoeste,4020,4450
1617,cordon 2,zonaoeste,4020,4450
1625,cordon 3,zonanorte,5220,5220
1626,cordon 3,zonanorte,5220,5220
1627,cordon 3,zonanorte,5220,5220
1628,cordon 3,zonanorte,5220,5220
1629,cordon 3,zonanorte,5220,5220
1630,cordon 3,zonanorte,5220,5220
1631,cordon 3,zonanorte,5220,5220
1632,cordon 3,zonanorte,5220,5220
1633,cordon 3,zonanorte,5220,5220
1634,cordon 3,zonanorte,5220,5220
1635,cordon 3,zonanorte,5220,5220
1642,cordon 1,zonanorte,2700,3300
1646,cordon 2,zonanorte,4020,4450
1648,cordon 2,zonanorte,4020,4450
1649,cordon 2,zonanorte,4020,4450
1650,cordon 1,zonanorte,2700,3300
1651,cordon 1,zonanorte,2700,3300
1653,cordon 1,zonanorte,2700,3300
1663,cordon 2,zonanorte,4020,4450
1664,cordon 2,zonanorte,4020,4450
1665,cordon 2,zonanorte,4020,4450
1666,cordon 2,zonaoeste,4020,4450
1674,cordon 1,zonasur,2700,3300
1675,cordon 1,zonasur,2700,3300
1676,cordon 1,zonasur,2700,3300
1677,cordon 1,zonasur,2700,3300
1678,cordon 1,zonasur,2700,3300
1686,cordon 2,zonasur,4020,4450
1687,cordon 2,zonasur,4020,4450
1688,cordon 2,zonasur,4020,4450
1702,cordon 1,zonasur,2700,3300
1704,cordon 1,zonasur,2700,3300
1705,cordon 1,zonasur,2700,3300
1706,cordon 1,zonasur,2700,3300
1706,cordon 1,zonasur,2700,3300
1708,cordon 1,zonasur,2700,3300
1714,cordon 2,zonasur,4020,4450
1715,cordon 2,zonasur,4020,4450
1716,cordon 2,zonasur,4020,4450
1722,cordon 3,zonasur,5220,5220
1723,cordon 3,zonasur,5220,5220
1724,cordon 3,zonasur,5220,5220
1725,cordon 3,zonasur,5220,5220
1730,cordon 1,zonasur,2700,3300
1731,cordon 1,zonasur,2700,3300
1732,cordon 1,zonasur,2700,3300
1733,cordon 1,zonasur,2700,3300
1734,cordon 1,zonasur,2700,3300
1735,cordon 1,zonasur,2700,3300
1736,cordon 1,zonasur,2700,3300
1737,cordon 1,zonasur,2700,3300
1738,cordon 1,zonasur,2700,3300
1739,cordon 1,zonasur,2700,3300
1740,cordon 1,zonasur,2700,3300
1741,cordon 1,zonasur,2700,3300
1742,cordon 1,zonasur,2700,3300
1743,cordon 1,zonasur,2700,3300
1745,cordon 1,zonasur,2700,3300
1746,cordon 1,zonasur,2700,3300
1747,cordon 1,zonasur,2700,3300
1748,cordon 1,zonasur,2700,3300
1749,cordon 1,zonasur,2700,3300
1750,cordon 1,zonasur,2700,3300
1751,cordon 1,zonasur,2700,3300
1752,cordon 1,zonasur,2700,3300
1754,cordon 1,zonasur,2700,3300
1763,cordon 1,zonasur,2700,3300
1765,cordon 1,zonasur,2700,3300
1766,cordon 1,zonasur,2700,3300
1802,cordon 3,zonasur,5220,5220
1803,cordon 3,zonasur,5220,5220
1804,cordon 3,zonasur,5220,5220
1804,cordon 3,zonasur,5220,5220
1805,cordon 3,zonasur,5220,5220
1806,cordon 3,zonasur,5220,5220
1812,cordon 3,zonasur,5220,5220
1824,cordon 1,zonasur,2700,3300
1825,cordon 1,zonasur,2700,3300
1826,cordon 1,zonasur,2700,3300
1827,cordon 1,zonasur,2700,3300
1832,cordon 2,zonasur,4020,4450
1833,cordon 2,zonasur,4020,4450
1834,cordon 2,zonasur,4020,4450
1835,cordon 2,zonasur,4020,4450
1836,cordon 2,zonasur,4020,4450
1838,cordon 2,zonasur,4020,4450
1846,cordon 3,zonasur,5220,5220
1847,cordon 3,zonasur,5220,5220
1848,cordon 3,zonasur,5220,5220
1849,cordon 3,zonasur,5220,5220
1852,cordon 3,zonasur,5220,5220
1870,cordon 1,zonasur,2700,3300
1871,cordon 1,zonasur,2700,3300
1872,cordon 1,zonasur,2700,3300
1873,cordon 1,zonasur,2700,3300
1874,cordon 1,zonasur,2700,3300
1875,cordon 1,zonasur,2700,3300
1876,cordon 1,zonasur,2700,3300
1877,cordon 1,zonasur,2700,3300
1878,cordon 2,zonasur,4020,4450
1879,cordon 2,zonasur,4020,4450
1880,cordon 2,zonasur,4020,4450
1881,cordon 2,zonasur,4020,4450
1882,cordon 2,zonasur,4020,4450
1883,cordon 2,zonasur,4020,4450
1884,cordon 2,zonasur,4020,4450
1884,cordon 3,zonasur,5220,5220
1885,cordon 3,zonasur,5220,5220
1886,cordon 3,zonasur,5220,5220
1887,cordon 3,zonasur,5220,5220
1888,cordon 3,zonasur,5220,5220
1889,cordon 3,zonasur,5220,5220
1890,cordon 3,zonasur,5220,5220
1900,cordon 3,zonasur,5220,5220
1901,cordon 3,zonasur,5220,5220
1902,cordon 3,zonasur,5220,5220
1903,cordon 3,zonasur,5220,5220
1904,cordon 3,zonasur,5220,5220
1905,cordon 3,zonasur,5220,5220
1906,cordon 3,zonasur,5220,5220
1907,cordon 3,zonasur,5220,5220
1908,cordon 3,zonasur,5220,5220
1909,cordon 3,zonasur,5220,5220
1910,cordon 3,zonasur,5220,5220
